plot,slope.position,age,biomass,diversity,recruitment
1,LS,4,38.17841533,40,147
1,LS,5,32.56408393,41,145
1,LS,6,49.76264361,48.5,110
1,LS,8,31.10896492,56,157
2,US,4,29.41840759,30,180
2,US,5,19.80277854,38,181
2,US,6,47.27735152,33,118
2,US,8,14.4374808,43,186
3,LS,4,27.89026712,33.5,181
3,LS,5,15.99098229,44.5,329
3,LS,6,40.67933292,39,93
3,LS,8,19.25748629,39,232
4,US,4,15.9297173,23,259
4,US,5,5.471905515,35,451
4,US,6,4.949644151,28,176
4,US,8,45.8670012,39,145
5,LS,4,31.07138835,48,178
5,LS,6,54.84544464,53,126
6,US,5,44.9776736,30,84
7,LS,5,53.23142043,48,122
8,US,5,46.44566901,37,95
9,LS,4,21.36601545,41,243
9,LS,6,34.12026494,42,197
10,US,4,18.43101307,47,241
10,US,6,42.30731465,51,136
11,LS,5,23.95925162,42.5,184
12,US,5,4.930725819,28,294
15,LS,12,65.39126921,62,90
15,LS,13,81.81479804,67,87
15,LS,14,66.56943714,68,103
15,LS,15,96.32801861,72,57
15,LS,17,117.3855353,72,37
16,US,12,57.49256428,62,123
16,US,13,63.8261119,66,89
16,US,14,66.60337745,64,84
16,US,15,83.55322855,63,94
16,US,17,55.82644258,69,85
17,LS,7,40.40133458,45,149
17,LS,8,46.16419515,48,138
17,LS,9,34.29926028,51,170
17,LS,10,72.5708492,65,75
17,LS,12,72.30437154,65,83
18,US,7,32.30222094,39,165
18,US,8,43.97741648,41,116
18,US,9,43.56282077,45,151
18,US,10,29.86303407,43,219
18,US,12,18.25605071,45,254
19,LS,5,25.26981437,38.5,185
19,LS,6,30.5177657,39,216
19,LS,7,35.11488558,40.5,169
19,LS,8,21.83481922,49.5,259
19,LS,10,32.112111,63,207
20,US,5,39.90620228,33,164
20,US,6,53.57363747,28,129
20,US,7,59.05752619,33,89
20,US,8,54.7972429,35,115
20,US,10,61.51416155,39,94
21,LS,18,112.0665683,74,40
21,LS,19,86.14535546,75,56
21,LS,20,113.1390213,75,38
21,LS,21,100.3934771,74,46
21,LS,23,139.2911876,61,34
22,US,18,96.77204689,63,77
22,US,19,82.08892658,62,47
22,US,20,73.67142757,62,85
22,US,21,85.82640778,63,81
22,US,23,118.0577879,66,46
23,LS,12,87.90674495,71,68
23,LS,13,88.76165839,69,63
23,LS,14,84.06563782,69,46
23,LS,15,88.38061411,68,63
23,LS,17,116.8303321,70,34
24,US,12,71.17144169,57,89
24,US,13,95.58655164,51,67
24,US,14,65.75438064,46,43
24,US,15,84.48429816,45,47
24,US,17,99.40169769,49,51
25,LS,14,54.88634406,67,141
25,LS,15,59.45283967,74,92
25,LS,16,89.97639031,73,55
25,LS,17,68.64663074,75,86
25,LS,19,73.38348403,78,90
26,US,14,57.56646915,57,84
26,US,15,92.86285587,59,60
26,US,16,64.2102656,60,87
26,US,17,111.4679916,62,42
26,US,19,84.88540583,66,70
28,US,5,41.17001416,48,150
28,US,6,26.66000653,40,194
28,US,7,30.60437524,45,180
28,US,8,16.74969987,48,263
28,US,10,33.62476537,47,158
29,LS,4,44.48626791,42,149
29,LS,5,58.07088454,48,129
29,LS,6,83.91300694,51,77
29,LS,7,64.95437157,48,90
29,LS,9,60.50147996,66,88
30,US,4,23.57495482,38,245
30,US,5,25.91712814,50,179
30,US,6,41.70825787,48,114
30,US,7,55.26867339,53,110
30,US,9,62.59336099,57,142
31,LS,4,37.53394612,45,156
31,LS,5,43.92484964,50,148
31,LS,6,81.74645925,45,79
31,LS,7,72.37878552,45,97
31,LS,9,75.79924063,52,59
32,US,4,28.15481133,40,172
32,US,5,41.07931967,50,138
32,US,6,30.80449612,46,188
32,US,7,35.20678817,46,183
32,US,9,62.83918253,44,114
33,LS,26,101.395004,65,83
33,LS,27,75.09750767,69,105
33,LS,28,102.2222513,67,50
33,LS,29,124.9481644,68,48
33,LS,31,149.8692594,66,14
34,US,25,66.77997301,45,99
34,US,28,84.0216174,55,50
34,US,29,54.95551148,54,108
34,US,30,68.8371813,53,100
34,US,31,77.70676318,57,73
35,LS,17,111.5692846,77,39
35,LS,18,145.951033,78,44
35,LS,19,113.8155332,83,39
35,LS,20,140.5688181,81,31
35,LS,22,111.5184737,82,50
36,US,17,73.97948664,72,61
36,US,18,49.8118971,76,147
36,US,19,54.66868244,78,112
36,US,20,48.30287351,73,102
36,US,22,72.97318849,73,77
37,LS,7,89.18735715,64,72
37,LS,8,61.65687592,60,82
37,LS,9,86.68880001,62,98
37,LS,10,110.5635945,69,70
37,LS,12,131.021232,69,43
38,US,7,35.78900718,48,99
38,US,8,38.35528784,46,110
38,US,9,36.96494297,48,183
38,US,10,58.02436178,48,86
38,US,12,63.34934272,50,76
39,LS,24,79.13586887,64,68
39,LS,25,80.83327506,68,63
39,LS,26,90.3139224,68,49
39,LS,27,119.2269374,66,39
39,LS,29,113.5258858,65,63
40,US,24,56.92401915,68,142
40,US,25,84.08151885,68,54
40,US,26,68.19378049,67,95
40,US,27,70.32288561,67,93
40,US,29,76.94671252,72,91
41,LS,25,87.52215113,64,51
41,LS,26,122.3457912,67,29
41,LS,27,73.31050465,65,64
41,LS,28,115.2078067,66,36
41,LS,30,85.28042381,73,47
42,US,19,95.17480064,66,66
42,US,20,134.3336305,64,39
42,US,21,82.54875323,64,56
42,US,22,61.55417817,65,98
42,US,24,60.45684167,70,109
45,LS,11,83.99922258,57,71
45,LS,12,45.59450009,53,95
45,LS,13,68.45704034,55,77
45,LS,14,62.95437022,55,103
45,LS,16,57.2741103,59,130
46,US,11,77.39150719,63,77
46,US,12,96.92625328,64,33
46,US,13,49.63463597,65,127
46,US,14,92.99026705,64,50
46,US,16,51.7010967,63,137
47,LS,5,38.33464805,47,106
47,LS,6,48.92238482,48,72
47,LS,7,63.14858047,51,101
47,LS,8,57.55042868,49,81
47,LS,10,73.06467261,62,70
48,US,6,47.69651738,31,143
48,US,7,49.91456985,41,137
48,US,8,27.45970711,45,176
48,US,9,31.65195222,49,110
48,US,11,40.63423608,54,144
49,LS,11,68.57404737,70,52
49,LS,12,81.61153276,70,60
49,LS,13,65.9398693,70,94
49,LS,14,69.85632374,75,109
49,LS,16,71.93837461,78,91
50,US,11,35.70619969,47,128
50,US,12,51.86398642,46,106
50,US,13,27.97494774,45,134
50,US,14,33.22597752,41,127
50,US,16,25.86907626,42,195
51,LS,12,74.73754964,57,57
51,LS,13,74.08797039,51,90
51,LS,14,76.46879109,54,85
51,LS,15,81.2421454,56,76
51,LS,17,102.3827822,61,58
52,US,12,38.83318522,47,94
52,US,13,50.82620894,49,90
52,US,14,73.17590349,46,96
52,US,15,83.69727226,49,60
52,US,17,50.9055724,57,125
53,LS,5,45.8435469,45,133
53,LS,6,83.42202441,49,80
53,LS,7,44.14990425,47,91
53,LS,8,46.61492272,51,141
53,LS,10,83.58893933,63,80
54,US,5,21.41387062,45,245
54,US,6,25.32251577,36,242
54,US,7,46.4474388,39,78
54,US,8,28.22143545,42,123
54,US,10,71.35799533,47,91
55,LS,25,101.0559397,80,57
55,LS,26,124.691054,81,38
55,LS,27,113.0047169,83,38
55,LS,28,134.5435487,81,31
55,LS,30,120.1251695,78,55
56,US,25,95.28267215,75,58
56,US,26,92.39364316,77,57
56,US,27,123.3794434,67,46
56,US,28,93.56183105,68,67
56,US,30,130.3461439,71,40
57,LS,28,141.8200538,71,29
57,LS,29,135.7980306,69,23
57,LS,30,140.2059337,70,22
57,LS,31,155.0119585,73,21
57,LS,33,170.4938977,78,32
58,US,28,104.4834056,64,58
58,US,29,80.37422598,65,79
58,US,30,111.9400979,66,40
58,US,31,76.00160645,65,97
58,US,33,98.72506964,61,63
59,LS,7,57.13212255,60,105
59,LS,8,84.18356466,58,81
59,LS,9,100.5375488,56,64
59,LS,10,101.7522486,69,22
59,LS,12,61.14065586,76,120
60,US,7,41.68379421,45,162
60,US,8,23.34961092,43,252
60,US,9,41.14004761,41,127
60,US,10,73.00256962,43,75
60,US,12,60.9701068,44,88
61,LS,20,108.1854417,70,49
61,LS,21,155.0452926,74,14
61,LS,22,145.0167024,74,46
61,LS,23,175.8527375,63,20
61,LS,25,101.3747818,68,47
62,US,20,100.8709977,49,34
62,US,21,98.10370897,51,42
62,US,22,90.46599603,50,58
62,US,23,108.2168013,49,53
62,US,25,118.4380346,53,40
63,LS,6,30.48381853,59,96
63,LS,7,72.74741263,55,83
63,LS,8,70.70488794,57,73
63,LS,9,64.23560804,58,70
63,LS,11,84.01278741,68,88
64,US,6,39.90952904,49,139
64,US,7,24.79099257,53,181
64,US,8,57.09260375,55,122
64,US,9,66.33207912,53,94
64,US,11,37.74277833,54,144
65,LS,15,103.0582534,73,54
65,LS,16,84.7022915,70,68
65,LS,17,101.2096971,72,54
65,LS,18,96.61006092,73,45
65,LS,20,77.17419795,72,66
66,US,15,58.76064956,44,129
66,US,16,62.08930597,46,110
66,US,17,47.99560335,45,133
66,US,18,60.64526278,45,98
66,US,20,47.99832123,46,123
67,LS,20,106.7296764,61,61
67,LS,21,97.86376296,62,71
67,LS,22,90.36394604,63,48
67,LS,23,83.77379515,68,69
67,LS,25,102.8036215,68,59
68,US,20,42.97657411,52,102
68,US,21,51.24153585,51,111
68,US,22,71.58586948,52,78
68,US,23,50.75416073,52,119
68,US,25,83.01376786,53,62
69,LS,10,76.48415439,64,91
69,LS,11,74.25088189,65,80
69,LS,12,76.29283357,63,55
69,LS,13,90.72704314,58,43
69,LS,15,111.9249478,59,53
70,US,10,43.04140374,39,143
70,US,11,42.84523981,38,139
70,US,12,69.21079348,37,94
70,US,13,42.29421899,39,178
70,US,15,61.74510084,38,89
71,LS,13,51.11793861,62,112
71,LS,14,70.49414274,64,87
71,LS,15,74.963928,64,71
71,LS,16,85.25159051,65,81
71,LS,18,87.97248696,66,54
72,US,13,30.7741709,46,158
72,US,14,21.14509309,45,207
72,US,15,47.9402289,47,142
72,US,16,52.3913693,45,133
72,US,18,52.50974915,43,120
75,LS,18,133.6987837,72,39
75,LS,19,116.5245296,72,47
75,LS,20,160.2137265,71,16
75,LS,21,138.7386059,70,35
75,LS,23,164.7368692,61,15
76,US,18,62.22479412,71,92
76,US,19,77.26123284,73,58
76,US,20,97.08829998,71,43
76,US,21,87.40122065,71,51
76,US,23,130.358873,72,44
77,LS,7,77.83689673,55,54
77,LS,8,84.47095145,56,69
77,LS,9,92.32943522,52,42
77,LS,10,112.7475196,62,49
77,LS,12,94.77876322,68,82
78,US,7,63.30083004,60,84
78,US,8,51.58394028,61,152
78,US,9,95.56294121,60,60
78,US,10,105.7520872,59,49
78,US,12,120.444958,62,56
81,LS,20,100.4742857,63,56
81,LS,21,86.75373358,62,61
81,LS,22,133.7546625,61,18
81,LS,23,80.16425132,65,81
81,LS,25,140.0041156,65,36
82,US,20,70.43277492,51,77
82,US,21,79.71874534,50,50
82,US,22,73.32749434,50,73
82,US,23,109.1900246,48,58
82,US,25,107.380441,52,38
83,LS,18,68.26772907,65,62
83,LS,19,74.8797673,66,75
83,LS,20,114.276732,66,46
83,LS,21,131.8018534,64,31
83,LS,23,123.2423589,69,28
84,US,18,73.72963864,54,83
84,US,19,43.92879372,52,139
84,US,20,43.38693753,53,127
84,US,21,71.13713279,52,84
84,US,23,69.17316427,57,70
85,LS,4,65.71142337,46,115
85,LS,5,46.97791053,51,83
85,LS,6,99.98467414,54,63
85,LS,7,73.64497064,54,88
85,LS,9,79.42522894,51,81
86,US,4,54.70231978,24,69
86,US,5,53.05065915,50,133
86,US,6,57.23273023,55,120
86,US,7,63.05959927,65,113
86,US,9,72.5311054,64,71
87,LS,29,163.4579903,84,22
87,LS,30,130.7562916,85,22
87,LS,31,174.4974772,84,23
87,LS,32,128.7724239,85,33
87,LS,34,133.1672863,82,19
88,US,29,128.434502,76,31
88,US,30,91.18434211,74,60
88,US,31,96.44262809,75,52
88,US,32,122.5576766,76,61
88,US,34,109.3269201,76,60
89,LS,4,43.21017859,37,98
89,LS,6,27.43855512,50,171
90,US,4,17.26235547,44,231
90,US,6,28.25003374,45,153
93,LS,5,39.62140497,53,159
93,LS,6,12.73069523,54.5,205
93,LS,7,30.86920686,46,182
93,LS,8,51.21702405,56,128
93,LS,10,19.89771649,64.5,252
94,US,5,35.15805678,35,178
94,US,6,31.06218001,26,166
94,US,7,48.98865301,31,141
94,US,8,37.24114543,33,171
94,US,10,45.11148035,60,89
103,US,16,96.86607521,52,66
103,US,17,60.18150889,52,107
103,US,18,85.5541668,52,55
103,US,19,95.61701905,52,61
103,US,21,63.45269314,53,84
104,LS,16,68.99178989,78,78
104,LS,17,90.92658002,79,56
104,LS,18,60.60518358,77,108
104,LS,19,107.6547167,80,67
104,LS,21,106.6433336,81,54
131,LS,6,25.14883907,56,219
131,LS,7,68.96964152,50,86
131,LS,8,55.13735294,51,130
131,LS,9,48.78069493,53,95
131,LS,11,63.23789332,67,73
132,US,6,34.36848638,45,170
132,US,7,22.10496099,45,223
132,US,8,48.40562027,47,106
132,US,9,41.81287479,44,142
132,US,11,25.87756585,43,155
133,LS,6,27.92495662,53,184
133,LS,7,11.95946488,50,278
133,LS,8,9.298363867,47,189
133,LS,9,24.91090394,48.5,209
133,LS,11,25.99518906,55.5,228
134,US,6,10.60808842,43,236
134,US,7,26.88924374,48,203
134,US,8,39.33660923,50,103
134,US,9,31.2429288,46,112
134,US,11,42.03664721,45,150
